campaign,run,decision,parent,survival,vx_mean,vx_std,vx_max,joint_accel_rms,action_rate_rms,fl_SP_sat_pct,fl_knee_sat_pct,bobbing_rms_mm,reason
loop_runs,baseline,BASELINE,,1.0,0.10884246975183487,0.11074712127447128,0.5047705173492432,12.236963272094727,0.02006191946566105,,,,corrected fixed-baseline protocol passed
loop_runs,run_01,KEEP,baseline,1.0,0.1448759138584137,0.07408025115728378,0.3606160879135132,13.451972961425781,0.019924484193325043,,,,corrected fixed-baseline protocol passed
loop_runs,run_02,REJECT,run_01,1.0,0.18212126195430756,0.07005660235881805,0.37220972776412964,16.63407325744629,0.021475642919540405,,,,acceleration exceeds 120% of original baseline
loop_runs,run_03,REJECT,run_01,1.0,0.1822405904531479,0.07103914767503738,0.3868350088596344,16.013582229614258,0.018296174705028534,,,,acceleration exceeds 120% of original baseline
loop_runs,run_04,REJECT,run_03,1.0,0.21330545842647552,0.06706327944993973,0.40889909863471985,18.502534866333008,0.01746603660285473,,,,acceleration exceeds 120% of original baseline; peak-speed guard failed
loop_runs,run_05,REJECT,run_03,1.0,0.20167528092861176,0.06955944746732712,0.39233288168907166,16.85975456237793,0.016498303040862083,,,,acceleration exceeds 120% of original baseline
loop_runs,run_06,KEEP,run_05,1.0,0.17664185166358948,0.06531059741973877,0.35438278317451477,13.353130340576172,0.01464588101953268,,,,corrected fixed-baseline protocol passed
loop_runs,run_07,REJECT,run_05,1.0,0.21004095673561096,0.06537894159555435,0.41744309663772583,19.80081558227539,0.017881881445646286,,,,acceleration exceeds 120% of original baseline; peak-speed guard failed
loop_runs,run_08,REJECT,run_05,1.0,0.18728558719158173,0.06233518570661545,0.35227489471435547,14.931683540344238,0.01651967316865921,,,,acceleration exceeds 120% of original baseline
refinement_runs,start_recheck,START,original/run_06,1.0,0.17664185166358948,0.06531059741973877,0.35438278317451477,13.353130340576172,0.01464588101953268,19.02777777777778,23.125,,audited best valid checkpoint; fixed original-baseline cap
refinement_runs,run_01,REJECT,start_recheck,1.0,0.1574523001909256,0.08261123299598694,0.41344672441482544,12.570743560791016,0.00877725426107645,25.90277777777778,23.819444444444443,,peak must be below 0.40 m/s; no improvement under refinement priorities
refinement_runs,run_02,REJECT,start_recheck,1.0,0.1754143238067627,0.05623014643788338,0.35466426610946655,12.334637641906738,0.017611628398299217,15.347222222222223,21.180555555555554,,no improvement under refinement priorities
refinement_runs,run_03,KEEP,start_recheck,1.0,0.1856144815683365,0.06076133996248245,0.36287784576416016,13.105225563049316,0.017504578456282616,16.666666666666664,19.930555555555557,,refinement priorities improved; all mandatory guards passed
refinement_runs,run_04,KEEP,run_03,1.0,0.19019851088523865,0.054301612079143524,0.3262275457382202,12.766277313232422,0.017354823648929596,17.430555555555554,20.0,,refinement priorities improved; all mandatory guards passed
refinement_runs,run_05,KEEP,run_04,1.0,0.1982526183128357,0.051268357783555984,0.3854769766330719,12.53651237487793,0.01737396791577339,17.01388888888889,21.180555555555554,,refinement priorities improved; all mandatory guards passed
refinement_runs,run_06,REJECT,run_05,1.0,0.19275563955307007,0.051237087696790695,0.3279912769794464,12.214670181274414,0.01785685122013092,14.722222222222223,20.694444444444443,,no improvement under refinement priorities
refinement_runs,run_07,REJECT,run_05,1.0,0.1929420530796051,0.0516609288752079,0.34316888451576233,11.943843841552734,0.01820988953113556,15.902777777777777,21.666666666666668,,no improvement under refinement priorities
refinement_runs,run_08,REJECT,run_05,1.0,0.19734296202659607,0.052344053983688354,0.37459421157836914,12.129405975341797,0.018905319273471832,16.805555555555557,23.40277777777778,,no improvement under refinement priorities
quality_runs,baseline,BASELINE,refinement/run_05,1.0,0.1982526183128357,0.051268357783555984,0.3854769766330719,12.53651237487793,0.01737396791577339,17.01388888888889,21.180555555555554,2.3598933429717643,retained gait remeasured; exact scalar metrics
quality_runs,run_01,REJECT,baseline,1.0,0.18982341885566711,0.049691423773765564,0.3568846583366394,11.847548484802246,0.019287193194031715,15.277777777777779,19.51388888888889,2.607886185975031,mean speed outside constraint; body_bobbing_detrended_rms_m exceeds baseline
quality_runs,run_02,KEEP,baseline,1.0,0.19518570601940155,0.04860934242606163,0.3317153751850128,12.17731761932373,0.01796029694378376,16.25,17.36111111111111,1.8128112093143673,physical gait quality improved; speed/cadence and baseline quality guards passed
quality_runs,run_03,REJECT,run_02,1.0,0.1865531951189041,0.049207087606191635,0.36452558636665344,11.652144432067871,0.018073661252856255,11.180555555555555,16.52777777777778,1.5994297782554991,mean speed outside constraint
quality_runs,run_04,KEEP,run_02,1.0,0.1909448355436325,0.0513608492910862,0.36476433277130127,11.607507705688477,0.017767028883099556,11.319444444444445,15.625,1.5601418867090617,physical gait quality improved; speed/cadence and baseline quality guards passed
quality_runs,run_05,KEEP,run_04,1.0,0.1929352581501007,0.05269000306725502,0.3658355176448822,11.00019359588623,0.018130332231521606,10.416666666666668,15.972222222222221,1.5097681907936251,physical gait quality improved; speed/cadence and baseline quality guards passed
quality_runs,run_06,REJECT,run_05,1.0,0.19155415892601013,0.04892146959900856,0.3328041136264801,11.078764915466309,0.019011307507753372,9.23611111111111,17.083333333333332,1.6266042861033376,quality score did not improve
